iter	Passed	Remaining
153	394369	1398218
154	396580	1394428
155	398533	1389756
156	400955	1386742
157	402866	1381984
158	404813	1377384
159	407300	1374637
160	409570	1371170
161	411829	1367680
162	413937	1363707
163	416073	1359850
164	418651	1357446
165	421117	1354679
166	423561	1351845
167	425434	1347210
168	427687	1343798
169	430174	1341131
170	432736	1338700
171	435138	1335774
172	437780	1333586
173	439858	1329686
174	442283	1326849
175	444762	1324180
176	446725	1319986
177	448773	1316065
178	450896	1312385
179	453289	1309502
180	455455	1305973
181	457439	1301943
182	459637	1298538
183	461986	1295570
184	464034	1291771
185	466442	1288985
186	468737	1285894
187	471167	1283178
188	473429	1280014
189	475767	1277060
190	477691	1273011
191	480020	1270054
192	482568	1267680
193	484781	1264430
194	486904	1260956
195	489189	1257915
196	491626	1255270
197	494327	1253294
198	496268	1249400
199	498819	1247047
200	500839	1243378
201	503039	1240166
202	505197	1236861
203	507789	1234625
204	509867	1231142
205	511803	1227334
206	513797	1223681
207	516232	1221087
208	518922	1219096
209	520787	1215171
210	523066	1212224
211	525136	1208805
212	527430	1205910
213	529691	1202943
214	531851	1199757
215	534075	1196724
216	536617	1194407
217	538427	1190467
218	540242	1186559
219	542651	1183966
220	545482	1182290
221	547701	1179286
222	550311	1177124
223	552943	1175004
224	555113	1171905
225	557507	1169285
226	559648	1166140
227	561906	1163244
228	563855	1159719
229	566524	1157681
230	568640	1154511
231	571027	1151901
232	573410	1149281
233	575668	1146416
234	577676	1143061
235	580169	1140672
236	582629	1138217
237	584984	1135557
238	587697	1133592
239	589876	1130595
240	591930	1127370
241	594298	1124746
242	596511	1121834
243	599203	1119823
244	601167	1116454
245	604460	1115549
246	606563	1112442
247	608893	1109757
248	611489	1107557
249	614061	1105310
250	616169	1102231
251	618211	1099043
252	620364	1096059
253	622977	1093889
254	625009	1090703
255	627475	1088277
256	629970	1085902
257	631699	1082213
258	633618	1078864
259	636134	1076534
260	638688	1074269
261	641450	1072348
262	644177	1070363
263	645839	1066613
264	648452	1064441
265	650889	1061977
266	653537	1059856
267	656117	1057621
268	657925	1054148
269	660366	1051694
270	662507	1048766
271	664803	1046087
272	666537	1042532
273	668859	1039905
274	671024	1037038
275	672865	1033676
276	675145	1030997
277	677440	1028345
278	679855	1025875
279	682180	1023270
280	684447	1020581
281	687321	1018795
282	689676	1016236
283	692274	1014036
284	694909	1011886
285	697347	1009447
286	699903	1007178
287	701913	1004126
288	704592	1002033
289	706682	999102
290	708772	996178
291	711531	994194
292	714030	991844
293	716318	989201
294	718455	986354
295	720613	983539
296	723329	981487
297	725563	978780
298	727968	976305
299	730596	974129
300	732668	971211
301	735557	969377
302	737755	966630
303	740252	964276
304	742435	961515
305	744267	958305
306	746931	956169
307	749495	953903
308	751994	951552
309	754197	948828
310	756780	946584
311	759204	944139
312	761775	941875
313	764021	939210
314	766072	936310
315	768633	934036
316	771200	931765
317	773915	929672
318	776321	927205
319	778902	924946
320	781080	922209
321	783770	920078
322	785892	917280
323	788635	915207
324	791088	912794
325	793469	910299
326	795945	907913
327	798063	905120
328	799921	902039
329	802697	899994
330	805399	897862
331	807528	895091
332	809859	892547
333	812380	890213
334	815231	888237
335	817763	885910
336	820052	883321
337	822647	881060
338	824824	878353
339	827157	875813
340	829304	873080
341	831354	870247
342	833789	867821
343	836565	865748
344	839294	863621
345	841863	861328
346	844011	858605
347	846420	856149
348	848690	853553
349	850677	850677
350	853036	848176
351	855402	845681
352	858160	843573
353	860106	840668
354	862681	838380
355	865001	835843
356	867515	833495
357	869744	830873
358	872278	828543
359	874550	825964
360	876495	823080
361	879089	820807
362	881279	818157
363	883533	815568
364	886182	813345
365	888396	810722
366	890569	808064
367	892894	805545
368	895544	803320
369	898166	801067
370	900347	798421
371	902982	796178
372	905152	793525
373	907595	791112
374	909898	788578
375	912267	786102
376	914187	783242
377	916991	781141
378	919130	778472
379	921882	776322
380	924051	773681
381	926563	771327
382	929481	769309
383	932330	767230
384	935072	765059
385	937543	762664
386	940282	760487
387	942621	757984
388	944881	755419
389	946924	752683
390	949134	750083
391	951410	747536
392	953476	744827
393	955698	742243
394	957697	739488
395	960251	737162
396	962770	734809
397	965175	732369
398	967977	730228
399	970625	727969
400	973032	725528
401	975697	723278
402	977905	720689
403	980735	718558
404	982873	715920
405	984843	713162
406	986937	710497
407	989219	707970
408	991627	705534
409	994121	703159
410	996678	700827
411	999056	698369
412	1001127	695698
413	1003958	693555
414	1006249	691038
415	1008274	688341
416	1010599	685850
417	1013239	683573
418	1016269	681555
419	1018734	679156
420	1021360	676863
421	1023927	674530
422	1026499	672199
423	1028736	669649
424	1031657	667542
425	1033751	664901
426	1036474	662663
427	1038409	659923
428	1041032	657621
429	1043621	655297
430	1046152	652935
431	1048624	650535
432	1050930	648033
433	1053485	645684
434	1055601	643067
435	1058275	640790
436	1060497	638239
437	1062922	635812
438	1065439	633438
439	1067678	630901
440	1070565	628744
441	1073339	626519
442	1076065	624263
443	1078622	621908
444	1080831	619352
445	1083068	616814
446	1085520	614399
447	1087712	611838
448	1090048	609359
449	1092751	607084
450	1095316	604731
451	1097660	602256
452	1100064	599814
453	1102397	597334
454	1105047	595025
455	1106859	592266
456	1109309	589851
457	1111939	587531
458	1114539	585194
459	1117076	582822
460	1119390	580334
461	1121795	577894
462	1123872	575286
463	1126030	572722
464	1127844	569986
465	1131075	567964
466	1133370	565471
467	1135993	563142
468	1138206	560609
469	1140642	558186
470	1143211	555828
471	1145270	553224
472	1147956	550921
473	1150146	548382
474	1152638	545986
475	1155163	543606
476	1157554	541162
477	1160331	538898
478	1163186	536668
479	1165908	534374
480	1168521	532029
481	1170837	529548
482	1173333	527149
483	1175478	524593
484	1178305	522341
485	1180948	520006
486	1183175	517487
487	1185798	515141
488	1188627	512884
489	1191122	510480
490	1193146	507877
491	1195267	505316
492	1197287	502715
493	1199745	500298
494	1201860	497740
495	1204963	495589
496	1207755	493308
497	1210183	490877
498	1212797	488521
499	1215222	486088
500	1217236	483493
501	1219835	481130
502	1222086	478630
503	1224106	476041
504	1226477	473590
505	1229186	471269
506	1231651	468853
507	1233502	466205
508	1235447	463596
509	1238136	461266
510	1240624	458861
511	1243278	456516
512	1245902	454159
513	1248428	451765
514	1250728	449290
515	1252758	446719
516	1255426	444377
517	1257658	441879
518	1260123	439465
519	1262160	436901
520	1264846	434563
521	1266676	431931
522	1269258	429557
523	1271914	427208
524	1274449	424816
525	1276877	422389
526	1279400	419993
527	1282091	417651
528	1284630	415258
529	1287173	412866
530	1289642	410451
531	1292108	408034
532	1294648	405640
533	1296842	403138
534	1299369	400739
535	1302113	398407
536	1304823	396063
537	1307590	393735
538	1310366	391408
539	1313301	389126
540	1316095	386800
541	1318047	384227
542	1320662	381849
543	1323025	379396
544	1325735	377043
545	1328266	374639
546	1330229	372075
547	1332938	369720
548	1335452	367310
549	1338069	364928
550	1340682	362543
551	1342916	360057
552	1345563	357681
553	1347549	355130
554	1349737	352634
555	1351596	350053
556	1354425	347725
557	1356850	345291
558	1359407	342891
559	1361556	340389
560	1364283	338030
561	1366952	335657
562	1369470	333245
563	1372198	330884
564	1374087	328321
565	1376074	325784
566	1378642	323385
567	1381251	320995
568	1384002	318636
569	1386657	316255
570	1388858	313770
571	1391452	311373
572	1394223	309016
573	1397079	306675
574	1399933	304333
575	1402559	301939
576	1404786	299460
577	1407440	297072
578	1410328	294731
579	1412486	292238
580	1415223	289864
581	1417764	287450
582	1420642	285103
583	1422962	282643
584	1425860	280297
585	1428532	277905
586	1430863	275447
587	1433469	273041
588	1435776	270579
589	1437839	268071
590	1440228	265625
591	1442873	263226
592	1445433	260811
593	1447968	258391
594	1450640	255995
595	1453618	253651
596	1455929	251190
597	1458423	248761
598	1461077	246358
599	1463780	243963
600	1466124	241508
601	1468722	239094
602	1471307	236678
603	1473682	234227
604	1476519	231850
605	1478537	229344
606	1480660	226855
607	1483170	224427
608	1485614	221988
609	1488105	219556
610	1490756	217147
611	1493344	214729
612	1495925	212309
613	1498602	209901
614	1501404	207511
615	1504182	205115
616	1506304	202630
617	1508409	200144
618	1511167	197745
619	1512907	195213
620	1515112	192743
621	1517455	190291
622	1519634	187819
623	1522318	185410
624	1524445	182933
625	1526649	180466
626	1529334	178056
627	1531976	175640
628	1534172	173173
629	1536145	170682
630	1538172	168199
631	1540165	165714
632	1542074	163221
633	1544555	160789
634	1546968	158351
635	1549741	155948
636	1552149	153509
637	1554454	151059
638	1556984	148632
639	1559733	146225
640	1562034	143775
641	1564967	141383
642	1567183	138926
643	1569757	136500
644	1572339	134075
645	1575148	131668
646	1577571	129229
647	1580649	126842
648	1583337	124422
649	1585893	121991
650	1588355	119553
651	1590571	117097
652	1593125	114666
653	1595846	112246
654	1598181	109798
655	1599416	107277
656	1600943	104780
657	1602153	102265
658	1604154	99803
659	1606327	97353
660	1608048	94877
661	1610318	92435
662	1612970	90014
663	1614785	87548
664	1617092	85110
665	1618690	82635
666	1620131	80156
667	1621860	77693
668	1623631	75235
669	1625492	72783
670	1627384	70334
671	1629030	67876
672	1631003	65434
673	1632594	62978
674	1634213	60526
675	1636000	58082
676	1637830	55642
677	1639181	53188
678	1640895	50749
679	1642740	48315
680	1644386	45878
681	1646000	43442
682	1647635	41009
683	1648883	38570
684	1650940	36151
685	1653149	33737
686	1655162	31320
687	1657081	28902
688	1659031	26486
689	1661184	24075
690	1662797	21657
691	1664489	19242
692	1665563	16823
693	1667305	14414
694	1668771	12005
695	1670449	9600
696	1672079	7196
697	1673738	4795
698	1675523	2397
699	1677248	0
