iter	MultiClass
655	0.4847700826
656	0.4847006762
657	0.4846415472
658	0.4845993543
659	0.4844915253
660	0.4844306517
661	0.4844016647
662	0.4843603163
663	0.4842612781
664	0.4841846021
665	0.4841061365
666	0.4840508566
667	0.4840145293
668	0.4839778102
669	0.4839142166
670	0.4838140578
671	0.4837635799
672	0.4837246482
673	0.4836439456
674	0.4835863196
675	0.4835567665
676	0.4834859013
677	0.4833915179
678	0.4833366252
679	0.4832877255
680	0.4832104727
681	0.4831127185
682	0.4830481738
683	0.4829732917
684	0.4828913748
685	0.4828301291
686	0.4828080061
687	0.4827824589
688	0.482652355
689	0.4825856429
690	0.482507692
691	0.4824906423
692	0.4824405866
693	0.4823926259
694	0.4823180366
695	0.482257307
696	0.4822012168
697	0.4821815751
698	0.4820884394
699	0.4820217155
